entity_kind,entity,rank_or_class,param,from_version,to_version,from_value,to_value,abs_delta,pct_delta
taxon,Apidae,family,cooperation_propensity,0.3.0,0.3.1,0.774199,0.774199,0.0,0.0
taxon,Apidae,family,inequity_sensitivity,0.3.0,0.3.1,0.695809,0.695809,0.0,0.0
taxon,Apidae,family,punishment_propensity,0.3.0,0.3.1,0.618699,0.618699,0.0,0.0
taxon,Apidae,family,tokenization_capacity,0.3.0,0.3.1,0.623595,0.623595,0.0,0.0
taxon,Apidae,family,risk_preference,0.3.1,0.4.0,0.932434,1.010343,0.077909,0.083554
taxon,Apidae,family,temporal_discount_rate,0.3.1,0.4.0,0.718064,0.77236,0.054296,0.075614
taxon,Apidae,family,effort_price_elasticity,0.3.1,0.4.0,-0.626031,-0.573908,0.052123,0.083259
taxon,Apidae,family,cooperation_propensity,0.3.1,0.4.0,0.774199,0.564396,0.209803,0.270994
taxon,Apidae,family,inequity_sensitivity,0.3.1,0.4.0,0.695809,0.636432,0.059377,0.085335
taxon,Apidae,family,punishment_propensity,0.3.1,0.4.0,0.618699,0.533667,0.085032,0.137437
taxon,Apidae,family,tokenization_capacity,0.3.1,0.4.0,0.623595,0.563899,0.059696,0.095729
taxon,Apidae,family,risk_preference,0.4.0,0.5.0,1.010343,0.925111,0.085232,0.084359
taxon,Apidae,family,temporal_discount_rate,0.4.0,0.5.0,0.77236,0.75443,0.01793,0.023215
taxon,Apidae,family,effort_price_elasticity,0.4.0,0.5.0,-0.573908,-0.519223,0.054685,0.095285
taxon,Apidae,family,cooperation_propensity,0.4.0,0.5.0,0.564396,0.794036,0.22964,0.406877
taxon,Apidae,family,inequity_sensitivity,0.4.0,0.5.0,0.636432,0.702921,0.066489,0.104471
taxon,Apidae,family,punishment_propensity,0.4.0,0.5.0,0.533667,0.586713,0.053046,0.099399
taxon,Apidae,family,tokenization_capacity,0.4.0,0.5.0,0.563899,0.608238,0.044339,0.078629
taxon,Cambaridae,family,risk_preference,0.3.0,0.3.1,1.110949,1.110949,0.0,0.0
taxon,Cambaridae,family,temporal_discount_rate,0.3.0,0.3.1,0.748908,0.748908,0.0,0.0
taxon,Cambaridae,family,effort_price_elasticity,0.3.0,0.3.1,-1.166723,-1.166723,0.0,0.0
taxon,Cambaridae,family,cooperation_propensity,0.3.0,0.3.1,0.488074,0.488074,0.0,0.0
taxon,Cambaridae,family,inequity_sensitivity,0.3.0,0.3.1,0.553219,0.553219,0.0,0.0
taxon,Cambaridae,family,punishment_propensity,0.3.0,0.3.1,0.445667,0.445667,0.0,0.0
taxon,Cambaridae,family,tokenization_capacity,0.3.0,0.3.1,0.4877,0.4877,0.0,0.0
taxon,Cambaridae,family,risk_preference,0.3.1,0.4.0,1.110949,1.046395,0.064554,0.058107
taxon,Cambaridae,family,temporal_discount_rate,0.3.1,0.4.0,0.748908,0.707102,0.041806,0.055823
taxon,Cambaridae,family,effort_price_elasticity,0.3.1,0.4.0,-1.166723,-1.17521,0.008487,0.007274
taxon,Cambaridae,family,cooperation_propensity,0.3.1,0.4.0,0.488074,0.547229,0.059155,0.121201
taxon,Cambaridae,family,inequity_sensitivity,0.3.1,0.4.0,0.553219,0.603683,0.050464,0.091219
taxon,Cambaridae,family,punishment_propensity,0.3.1,0.4.0,0.445667,0.516588,0.070921,0.159135
taxon,Cambaridae,family,tokenization_capacity,0.3.1,0.4.0,0.4877,0.540538,0.052838,0.108341
taxon,Cambaridae,family,risk_preference,0.4.0,0.5.0,1.046395,1.133525,0.08713,0.083267
taxon,Cambaridae,family,temporal_discount_rate,0.4.0,0.5.0,0.707102,0.786121,0.079019,0.11175
taxon,Cambaridae,family,effort_price_elasticity,0.4.0,0.5.0,-1.17521,-1.232529,0.057319,0.048773
taxon,Cambaridae,family,cooperation_propensity,0.4.0,0.5.0,0.547229,0.446868,0.100361,0.183399
taxon,Cambaridae,family,inequity_sensitivity,0.4.0,0.5.0,0.603683,0.529544,0.074139,0.122811
taxon,Cambaridae,family,punishment_propensity,0.4.0,0.5.0,0.516588,0.421009,0.095579,0.18502
taxon,Cambaridae,family,tokenization_capacity,0.4.0,0.5.0,0.540538,0.442711,0.097827,0.180981
